epoch,train_loss,val_loss,val_dice,pixel_acc,class_0_dice,class_1_dice,class_2_dice,class_3_dice
1,0.7172636049307459,0.6518306050684068,0.41049564207767275,0.9236481673233993,0.9594923853874207,0.1600654125213623,0.463665246963501,0.05875929445028305
2,0.32735706096499917,0.4736478296662127,0.467442406432612,0.967745000665838,0.9835255146026611,0.24634362757205963,0.41274306178092957,0.22715745866298676
3,0.2301039201457326,0.34868094747091505,0.5908491617732948,0.9735684161419635,0.9865078330039978,0.43952327966690063,0.3683203160762787,0.5690452456474304
4,0.15040916059075332,0.24208857891494995,0.7021423927345476,0.9859599400233555,0.9929628968238831,0.5815509557723999,0.6079411506652832,0.6261143684387207
5,0.100974504798045,0.1788656742058017,0.7066103964001982,0.9855692403299825,0.9926357865333557,0.6311036944389343,0.560244619846344,0.6424573659896851
6,0.07758774840068526,0.14546424371900257,0.7390251225837461,0.9891741559222028,0.9945653080940247,0.6216617226600647,0.6711929440498352,0.6686806082725525
7,0.06054038444639948,0.13061085553722573,0.6783131770529114,0.98734486186421,0.993613600730896,0.5020831227302551,0.4931015372276306,0.7244542837142944
8,0.06712159493226345,0.1068699726789304,0.7948427372253858,0.9916178029733937,0.9957609176635742,0.6522351503372192,0.75034099817276,0.7810338735580444
9,0.03675635555017043,0.09356190472307217,0.7513351598819653,0.9906090156181709,0.9952512979507446,0.6326934099197388,0.6205719113349915,0.7568239569664001
10,0.03175586072834042,0.07169078761333977,0.8055824338868781,0.9933037391075721,0.9966074228286743,0.7192257046699524,0.6879758238792419,0.818520724773407
11,0.0290627398157144,0.0800933199511333,0.7254615749095703,0.991844550712959,0.9958826899528503,0.4811057150363922,0.7636592984199524,0.6611986756324768
12,0.025605759431979035,0.06464156679730941,0.8459934754805132,0.9931781475360577,0.9965416193008423,0.749303936958313,0.8240221738815308,0.8141059875488281
13,0.0240637680318782,0.05906712827175022,0.8276007280691521,0.9928103893786877,0.9963528513908386,0.7269759774208069,0.7630617618560791,0.8240121603012085
14,0.02084996921911351,0.06340439776544804,0.8486884100349633,0.9944809066665756,0.9972185492515564,0.771775484085083,0.786047637462616,0.8397117853164673
15,0.018002263781410163,0.05608964453360157,0.7817505751248006,0.9921014959161932,0.9959992170333862,0.6716123223304749,0.6675522327423096,0.7918384075164795
16,0.016266678344473484,0.0565912497500153,0.8559405075294988,0.9948103044416521,0.9973819851875305,0.7506266832351685,0.8333417177200317,0.8424117565155029
17,0.013125783197839207,0.05308980943954231,0.8764826643925446,0.9955260803649476,0.9977400898933411,0.8030602335929871,0.8336162567138672,0.8715141415596008
18,0.010949875990958596,0.054387361103492966,0.8971421070449002,0.995308402534965,0.9976291060447693,0.8390913605690002,0.8876746296882629,0.8641732931137085
19,0.008915400386189784,0.056383999609193027,0.9055551742757117,0.9962681056736232,0.9981198906898499,0.8521392345428467,0.8984366655349731,0.8735249042510986
20,0.03231033075570575,0.07084115057812443,0.7882659298244056,0.9922066001625328,0.9960631132125854,0.6077597141265869,0.7924753427505493,0.7567654848098755
21,0.0174818438595176,0.05509517276561917,0.8711967568297486,0.9957359687431709,0.9978554248809814,0.7741014361381531,0.8537839651107788,0.859046220779419
22,0.010314295730909438,0.05147878641842285,0.8486357905439563,0.9953037608753551,0.9976274967193604,0.7740787863731384,0.7955679893493652,0.8272688984870911
23,0.008196456791318165,0.04919231886213476,0.8892706539872643,0.995927023720908,0.9979353547096252,0.8378796577453613,0.8745577335357666,0.8467098474502563
24,0.006817603851971406,0.06039590252745714,0.851009725273906,0.9953737592363691,0.9976671934127808,0.7666345834732056,0.7989665865898132,0.8407706022262573
25,0.006265147150933318,0.05512201529032049,0.9018556250558867,0.996733071920755,0.9983512759208679,0.8379122614860535,0.8938618898391724,0.8772969841957092
26,0.006923761246233754,0.05954083534188803,0.9050215668194778,0.9966909768698099,0.9983358383178711,0.843053936958313,0.8981640934944153,0.8805323243141174
27,0.005656101065119956,0.03751265180339529,0.903900353329165,0.996396684980059,0.9981837868690491,0.8482983708381653,0.885991632938385,0.8831278085708618
28,0.022903774741931053,0.05519286179068414,0.7986834779173344,0.9936767258010544,0.9968090057373047,0.7145189642906189,0.6731017827987671,0.8103041052818298
29,0.027261198062934283,0.04561997704343037,0.8511822217411095,0.9952708957912205,0.9976181387901306,0.7742881774902344,0.8077707886695862,0.8250516653060913
30,0.0071026675395546406,0.04493290967417073,0.8506009847550959,0.9955610261930452,0.9977614283561707,0.7421457171440125,0.8252072930335999,0.8372895121574402
31,0.005457515179035746,0.047668416243554515,0.8965624597939578,0.9968227039683949,0.998404860496521,0.8261305689811707,0.8757458925247192,0.8859684467315674
32,0.00499720809644285,0.05381281872384146,0.9046704938986918,0.9970862115179742,0.998534619808197,0.8352208137512207,0.8833549618721008,0.90157151222229
33,0.0046466735723557145,0.04541044168327316,0.8913606479242965,0.9968306001249727,0.9984107613563538,0.8155828714370728,0.8546115756034851,0.8968373537063599
34,0.00450107637921545,0.05243219701464164,0.8938945471406816,0.9968985710944329,0.9984421133995056,0.8395159244537354,0.8624594211578369,0.8751607537269592
35,0.004300659565005179,0.04566388427511092,0.9062088277790096,0.9971367896019996,0.9985615015029907,0.8498156666755676,0.9012507796287537,0.875207245349884
